comp_id|pos|neg
PC0|pills mouths girls boys spinnin walkin dreamt raindrops passport discovery|hes age step angel diamonds baby woman phone ride reason
PC1|daddys pills hes control mouths guns war work romance pack|lie energy mystery violet plenty moment sorry sky sea leaves
PC2|soul walkin everything step denial someones sorry huh people bye|woman truck rhythm violet dusk afternoon pills island leaves stream
PC3|phone work dark miracle step someones spiral raindrops parade days|walkin soul arms everything nothin bye lit comin everybody money
PC4|girls pills discovery mouths boys lie babies mystery plenty people|denial someones reject walkin round hes bye lit spinnin romance
PC5|walkin soul message round someones comin nothin holdin everyone uncle|lit bye sorry minds baby guns marry balloon step huh
PC6|control ok dome gun people pack chance handshake spray pass|pills mouths lie phone hes step guns someones fag drop
PC7|war bye lit work sorry marry pills je enemy denial|youth huh romance lie control freak handshake shame uh doors
PC8|huh daddys step freak shame space hole dome moment dream|pills lie mouths mine gun youth denial girls matter hope
PC9|lovers parade lit phone drop bye mouths spit violet minds|lie plenty spinnin minutes finches daddys handshake step sea escape
