comp_id|pos|neg
PC0|mystery step hes lie everything body cry touch phone side|pills boys lovers bam pow spinnin depression afternoon parallels raindrops
PC1|mystery lie girls moment sea pills arms space afternoon room|someones denial hes round hope work matter words cards daddys
PC2|pills boys mine lie girls lovers days gun hope sky|daddys hes step baby guns moment babe arms brother balloon
PC3|walkin denial everything moment round discovery arms someones matter soul|pills daddys boys hes lives cartilage brother angel guns men
PC4|lovers step moment stone lives denial cards leaves ad youth|walkin soul beast fits nobody men daddys crime dance everything
PC5|pills step someones denial mystery hes soul boys round lie|lovers rhythm woman bands half people waves matter line cry
PC6|lie youth diamonds sugar baby advice denial matter girl child|hole step mystery lovers fits phone walkin dream soul work
PC7|lovers ad leaves lie hes soul sky arms shade lies|minutes finches hours dear anything youth nights doors space feelings
PC8|youth lie advice control case spinnin pieces dance plan guns|lit minutes bye moment dodododo arms balloon astronauts pills nights
PC9|pills people youth boys step soul whispering hole matter arms|lie minutes finches afternoon nights sea denial days bury dark
